customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8209-SABPL,Female,0,Yes,No,15,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),100.95,1510.02,1
2462-RBYMF,Male,0,No,Yes,14,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,99.04,1377.61,1
3068-ZFIPK,Female,0,No,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),35.93,1398.35,0
3598-JJYTR,Male,0,No,Yes,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,46.43,188.44,1
6051-XTIOD,Male,0,Yes,No,15,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Mailed check,108.9,1627.31,1
2191-IMIZD,Male,1,Yes,Yes,41,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,68.27,2805.04,1
1271-OCYTE,Female,0,Yes,No,44,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Electronic check,67.37,2956.8,0
4332-TOROB,Male,0,No,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),46.19,142.4,0
4676-MDJMJ,Male,0,Yes,No,45,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),78.82,3543.39,0
6214-IHCPN,Female,0,No,No,1,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,81.92,83.08,1
5616-UKCEJ,Male,0,No,No,46,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),81.48,3756.83,0
5471-MLEJX,Female,0,Yes,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,33.56,244.54,1
9264-TGBVX,Male,0,No,No,20,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),73.36,1467.81,0
1571-WGHGU,Female,0,Yes,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),91.72,84.55,1
2174-NZSEW,Female,0,No,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),35.15,1096.74,0
1734-YRTLW,Male,0,Yes,No,13,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),119.45,1557.63,1
5588-BYMZG,Female,0,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),37.64,1656.51,0
1731-JWFCZ,Female,0,Yes,No,19,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,110.19,2089.75,1
3933-TESVS,Male,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),42.05,1807.49,0
1893-OPXID,Male,0,Yes,No,22,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Mailed check,75.12,1649.48,0
5312-LWCWN,Male,1,Yes,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),44.89,1441.41,0
8088-SFDGS,Male,0,Yes,Yes,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),43.69,1446.63,1
2167-OVHSH,Female,0,Yes,Yes,6,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,58.02,338.28,1
4793-PTSJQ,Female,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,35.45,701.45,0
3220-MGJBD,Male,0,Yes,No,49,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,90.62,4440.74,0
4992-FXRWF,Male,0,No,No,50,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),111.65,5589.01,0
4197-YWQNX,Male,0,No,Yes,11,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),119.41,1322.64,1
8037-BCKFN,Male,0,Yes,No,9,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,108.54,979.41,1
8090-ZPUVX,Female,0,No,No,25,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,No,Credit card (automatic),94.85,2367.8,0
2894-HSTPV,Female,1,Yes,No,36,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,68.42,2457.71,0
6178-GIMAH,Female,0,Yes,No,1,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,125.34,132.25,0
2335-VDCCV,Female,0,Yes,Yes,2,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,83.38,173.95,1
7380-HGAPF,Female,1,No,Yes,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,44.82,1613.5,0
5267-WIKJU,Male,0,No,No,13,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,90.5,1176.74,1
9881-DEIQC,Male,1,No,Yes,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,46.15,1194.25,0
2412-PCTOC,Female,0,No,No,41,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,88.42,3624.41,1
9307-NPQXT,Female,0,No,Yes,33,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),111.21,3672.39,1
6969-RVNRO,Male,0,Yes,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),44.6,1736.97,0
4150-FORDW,Female,0,Yes,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),42.1,723.48,0
8943-OCOMI,Female,0,Yes,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),95.88,391.07,1
9033-XHTQM,Female,0,No,No,15,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,98.51,1486.15,1
9737-OLNYB,Female,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),46.58,3344.29,0
2990-WYFNH,Male,0,No,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),43.85,342.79,0
5435-UUVCE,Female,1,No,No,13,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),88.33,1140.49,0
8951-RZQKQ,Female,0,No,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),37.43,1274.4,0
9633-WBDUG,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,94.26,87.49,1
2505-FQGYE,Female,0,No,No,33,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),108.06,3566.06,0
8236-TPSIE,Female,0,No,No,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.42,163.25,0
7852-JYBIK,Male,1,No,No,7,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,77.0,542.9,1
3659-VVVBW,Male,0,No,No,20,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,99.12,1977.7,0
3925-ARGAA,Male,0,Yes,Yes,7,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),91.63,642.49,0
1512-XDDRK,Female,0,Yes,Yes,24,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,83.73,2011.89,0
2567-AJIWD,Female,0,No,No,57,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,103.99,5925.75,0
8867-FPBWR,Male,0,Yes,No,12,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,84.86,1011.24,0
5567-XQMXR,Male,0,No,No,68,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,91.07,6200.17,1
3741-MQEKG,Female,0,Yes,No,68,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),103.83,7068.17,1
5284-JQORW,Female,0,No,Yes,5,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,85.13,431.97,0
1498-ZBZDC,Male,1,No,No,13,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,One year,No,Mailed check,92.27,1206.79,1
3118-XRJGH,Female,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,46.4,3344.24,0
5565-ZADNQ,Female,0,Yes,No,3,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,71.64,213.14,0
9243-RKUZN,Male,1,Yes,No,15,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,105.21,1570.46,1
3568-OLJSX,Female,1,No,No,13,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Electronic check,116.7,1523.32,0
4199-TXFHA,Female,0,No,No,39,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,84.4,3286.98,0
1240-QXOGS,Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,95.11,373.88,1
6077-YWCVK,Male,0,No,No,6,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),71.4,426.31,1
3173-SIJBA,Female,0,Yes,No,4,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),79.17,319.92,1
8325-PRWZQ,Female,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Credit card (automatic),103.74,416.3,1
2317-NWYON,Male,0,Yes,No,7,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,121.31,849.98,0
8607-VCXWS,Female,0,No,No,18,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,92.12,1650.61,1
9107-BCRAT,Female,0,Yes,Yes,29,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),94.74,2740.51,0
7996-FEASA,Female,0,Yes,No,11,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,92.09,1003.37,1
7362-UUPLV,Male,0,Yes,Yes,14,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Electronic check,94.76,1321.61,1
7681-PADJK,Male,0,No,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),92.85,3436.43,0
1534-GLUGL,Female,0,No,No,17,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),84.79,1433.9,0
6966-BNMDN,Male,0,Yes,No,21,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,74.54,1558.49,1
9518-SBJRQ,Male,0,Yes,No,17,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Credit card (automatic),83.44,1423.56,0
2861-VITAV,Male,0,Yes,No,37,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Mailed check,116.16,4293.58,0
5846-UZFSR,Male,0,No,Yes,4,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,86.38,348.36,1
1901-MAWWZ,Male,1,Yes,No,72,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),104.24,7514.49,0
7604-GOLZA,Male,0,Yes,No,50,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),113.2,5666.68,0
8118-DMWYE,Male,0,No,No,12,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),85.75,1037.39,1
8996-BWZAP,Male,0,No,Yes,12,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),85.37,1032.24,1
9997-WPNZC,Male,0,Yes,No,45,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),136.33,6126.49,0
3460-BAIIW,Female,0,Yes,Yes,14,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),65.56,920.81,0
7726-CZRKG,Male,0,Yes,No,17,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),95.25,1625.33,0
1616-ANTFG,Male,0,Yes,No,32,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,88.56,2831.27,0
4081-GZBDU,Female,1,No,No,11,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,95.63,1043.61,1
7269-QAJSO,Female,0,No,No,14,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,99.51,1384.15,1
6801-SLXPI,Female,0,No,No,1,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,109.22,105.97,0
7175-OQNRZ,Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),92.9,284.69,1
9321-DRGMO,Male,1,Yes,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,45.87,646.29,1
4672-WVZAK,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,74.77,79.68,0
3121-YEPKU,Male,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,34.91,271.09,1
4237-IMXHN,Female,0,No,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,100.32,1297.82,1
5704-QXEYB,Male,0,No,Yes,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.97,42.1,1
6471-YXIDQ,Male,0,No,No,1,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.8,104.4,1
5212-RPHZK,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,96.24,89.64,1
2364-URWXJ,Female,0,No,No,15,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.39,273.63,0
9044-QRJPT,Female,0,Yes,No,3,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),75.21,224.1,1
3148-MRQIN,Female,0,No,No,27,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,120.0,3247.48,1
4504-DRTXX,Female,1,Yes,No,16,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,One year,No,Mailed check,79.53,1265.44,0
5654-KLIMO,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),76.51,73.81,1
1154-OEWSZ,Female,0,No,No,1,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,118.59,117.08,1
1153-NQRUC,Female,0,No,No,59,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),61.96,3647.07,0
1786-QLALQ,Male,0,Yes,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,103.06,313.18,1
4767-CKQWZ,Male,0,No,Yes,33,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),86.33,2857.36,1
4426-HTDUV,Male,0,No,No,6,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.99,431.79,0
3349-DPXVA,Female,0,No,No,9,No,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,58.29,517.48,0
7704-YJVPP,Female,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,35.72,30.88,0
8367-GFPTP,Male,0,No,No,19,Yes,No,DSL,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),67.44,1281.42,0
3713-ZNGAZ,Male,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),35.05,518.06,1
4192-MTCTD,Female,0,No,No,32,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),109.76,3513.58,1
3506-BNLQL,Male,0,Yes,No,56,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,110.87,6202.29,0
5825-LAMNX,Male,0,No,No,19,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),84.27,1609.05,0
3941-BLZUP,Male,0,No,No,72,No,No phone service,DSL,No,No,No,No,No,Yes,One year,Yes,Electronic check,52.27,3762.09,0
6091-HBJIW,Male,0,No,No,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,116.78,343.46,1
4276-WQPBT,Female,0,Yes,No,10,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Electronic check,86.04,855.72,1
2299-NCWLH,Female,0,Yes,No,42,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),111.61,4678.16,1
8489-DNPSB,Female,0,No,No,19,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,73.34,1391.0,0
2532-NFMDV,Male,0,No,No,19,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,118.66,2252.57,1
4089-LTVUS,Female,0,No,No,14,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Mailed check,109.4,1533.83,1
9167-GPSFT,Female,0,No,No,1,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,84.26,79.53,1
8322-UKEPG,Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,111.73,231.18,1
9634-EKOCZ,Male,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,45.82,83.51,0
1534-UEIOC,Female,0,Yes,No,5,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,91.1,461.75,0
7085-QZUHU,Male,0,Yes,Yes,2,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),77.2,151.58,0
5517-HJXCW,Male,0,Yes,No,2,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),75.93,144.65,1
8670-NJLFL,Female,0,Yes,No,24,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,112.31,2693.42,0
4309-BIJZQ,Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),100.45,306.0,1
1882-ALGDJ,Female,0,No,No,15,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.55,1411.4,0
6204-VYDRE,Male,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,42.38,33.07,1
1018-BLQJB,Male,0,Yes,Yes,7,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,98.51,683.4,1
1773-HSKYL,Male,1,Yes,No,61,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),66.64,4069.01,0
7984-BHZKU,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.46,30.79,0
1739-JUTPH,Male,0,No,Yes,50,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,99.33,4975.91,0
7947-JLNPV,Male,1,No,Yes,34,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),73.55,2491.87,0
8124-VULRG,Female,0,Yes,No,60,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),103.9,6240.74,0
7998-GIAZF,Female,1,Yes,No,37,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,68.61,2547.32,1
6413-VLVLJ,Male,0,No,No,41,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),88.61,3628.6,0
9569-FQSRF,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,101.1,201.03,1
6682-JXHUX,Female,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,47.43,2040.63,1
1069-UYGXA,Female,0,Yes,No,15,No,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,79.64,1192.62,1
9119-YTLPJ,Male,1,No,No,10,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Mailed check,66.08,655.35,0
3330-JNYTJ,Female,0,Yes,No,4,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),102.72,408.09,0
9216-KWBYT,Female,0,Yes,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.7,73.37,0
1231-WGHAU,Male,0,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,102.14,2448.99,1
7401-ROAEB,Male,1,No,Yes,31,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),76.42,2366.02,1
9787-CSRVR,Male,0,Yes,No,11,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,82.39,901.53,0
8933-XHLUJ,Female,0,No,Yes,4,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,121.9,497.15,1
9534-TQKBZ,Female,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),126.13,386.91,1
4235-AOMHY,Female,1,No,Yes,4,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,95.11,386.02,0
7353-ESZWV,Male,0,Yes,Yes,1,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,78.73,87.27,1
6839-ALXBU,Male,0,Yes,No,10,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Mailed check,67.6,675.41,0
2927-RYPEZ,Male,1,No,Yes,22,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Electronic check,102.61,2254.21,1
6533-VMSCZ,Female,0,No,No,14,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),88.17,1239.36,0
3663-ZZLBK,Female,0,No,Yes,3,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),99.74,302.72,0
2131-RMEVL,Female,0,Yes,No,40,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,115.0,4608.21,1
6092-GZZXL,Male,1,Yes,Yes,8,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),132.3,1050.79,1
7159-WHIOE,Male,0,Yes,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),33.57,743.89,1
6636-KJTMI,Female,0,Yes,No,6,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,92.79,555.4,1
6812-NROJX,Female,0,Yes,No,21,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,77.01,1622.85,1
7782-GHCOP,Female,0,Yes,Yes,3,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,78.24,234.24,1
2876-FADKL,Male,1,No,No,25,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),82.58,2067.76,1
5516-WUPMM,Female,1,No,Yes,20,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,88.1,1765.69,0
2008-GHMWP,Male,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,35.35,605.27,0
1989-DHPUJ,Female,0,No,No,5,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,67.06,334.6,1
9075-ZEPAI,Female,0,No,Yes,18,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),108.03,1946.76,1
4908-VTVXC,Female,0,Yes,No,54,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Credit card (automatic),119.1,6437.21,0
9388-BNBMG,Female,0,Yes,No,3,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),95.4,285.45,0
3665-MPZNK,Female,0,Yes,No,29,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),90.27,2609.68,0
9613-DUAGX,Female,0,No,Yes,2,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,85.86,169.12,0
2223-ESJKY,Female,0,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),32.51,290.15,0
1654-FOESV,Female,0,Yes,No,27,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),118.7,3214.34,1
5402-JLVDR,Female,0,Yes,No,19,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,98.03,1865.55,1
9167-DYWLB,Female,0,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),118.23,3194.29,1
